scenario_id,level,reschedule_start_time,delayed_task_count,frozen_task_count,movable_task_count,eligible_delay_task_count,TaskID,release_time
low_000,low,53.87156344548771,9,62,228,224,76,97.27360264941451
low_000,low,53.87156344548771,9,62,228,224,77,97.27360264941451
low_000,low,53.87156344548771,9,62,228,224,105,108.5940153595205
low_000,low,53.87156344548771,9,62,228,224,123,77.25391613359751
low_000,low,53.87156344548771,9,62,228,224,181,120.1383739120796
low_000,low,53.87156344548771,9,62,228,224,184,140.17296380685875
low_000,low,53.87156344548771,9,62,228,224,218,132.0442133563684
low_000,low,53.87156344548771,9,62,228,224,263,207.678163363986
low_000,low,53.87156344548771,9,62,228,224,285,202.792184276868
low_001,low,70.52300151904606,10,93,197,193,58,96.83286056952184
low_001,low,70.52300151904606,10,93,197,193,78,98.55488078902874
low_001,low,70.52300151904606,10,93,197,193,79,98.71558658484382
low_001,low,70.52300151904606,10,93,197,193,84,113.56607018040604
low_001,low,70.52300151904606,10,93,197,193,150,101.38054439473284
low_001,low,70.52300151904606,10,93,197,193,166,143.95953213264826
low_001,low,70.52300151904606,10,93,197,193,175,129.4880795711906
low_001,low,70.52300151904606,10,93,197,193,211,149.2487468852271
low_001,low,70.52300151904606,10,93,197,193,258,226.9933917432205
low_001,low,70.52300151904606,10,93,197,193,287,204.0886051781754
low_002,low,84.429758704335,7,115,175,171,50,94.55264784499232
low_002,low,84.429758704335,7,115,175,171,74,95.7964346528632
low_002,low,84.429758704335,7,115,175,171,165,121.3629475068662
low_002,low,84.429758704335,7,115,175,171,222,126.51785642653684
low_002,low,84.429758704335,7,115,175,171,224,136.59421587170254
low_002,low,84.429758704335,7,115,175,171,229,197.7035073096081
low_002,low,84.429758704335,7,115,175,171,242,234.26239994074535
low_003,low,65.39795676230833,10,83,207,203,45,72.98162986598689
low_003,low,65.39795676230833,10,83,207,203,57,87.6517045233638
low_003,low,65.39795676230833,10,83,207,203,80,99.92157749164927
low_003,low,65.39795676230833,10,83,207,203,111,92.10960272319484
low_003,low,65.39795676230833,10,83,207,203,176,141.0020307236821
low_003,low,65.39795676230833,10,83,207,203,202,127.84494041817564
low_003,low,65.39795676230833,10,83,207,203,207,124.75024195952518
low_003,low,65.39795676230833,10,83,207,203,214,139.17530890310374
low_003,low,65.39795676230833,10,83,207,203,232,213.79723902143536
low_003,low,65.39795676230833,10,83,207,203,284,202.38435656661036
low_004,low,73.79458927054469,8,99,191,187,48,93.83165587727768
low_004,low,73.79458927054469,8,99,191,187,62,114.09157894547567
low_004,low,73.79458927054469,8,99,191,187,206,130.3095249256474
low_004,low,73.79458927054469,8,99,191,187,211,149.2487468852271
low_004,low,73.79458927054469,8,99,191,187,237,198.59648750323927
low_004,low,73.79458927054469,8,99,191,187,259,210.5731695046508
low_004,low,73.79458927054469,8,99,191,187,260,200.34084242755557
low_004,low,73.79458927054469,8,99,191,187,272,212.93193925308287
low_005,low,71.36360917296574,11,95,195,191,86,92.10960272319484
low_005,low,71.36360917296574,11,95,195,191,150,101.38054439473284
low_005,low,71.36360917296574,11,95,195,191,156,106.08497396527696
low_005,low,71.36360917296574,11,95,195,191,167,124.93881271634282
low_005,low,71.36360917296574,11,95,195,191,182,136.59421587170254
low_005,low,71.36360917296574,11,95,195,191,188,130.3095249256474
low_005,low,71.36360917296574,11,95,195,191,194,125.72703270513595
low_005,low,71.36360917296574,11,95,195,191,204,128.57705910427012
low_005,low,71.36360917296574,11,95,195,191,275,248.23229484039425
low_005,low,71.36360917296574,11,95,195,191,280,213.26588672173685
low_005,low,71.36360917296574,11,95,195,191,283,201.87434292983104
low_006,low,82.3440290468329,5,112,178,174,89,93.44054398180972
low_006,low,82.3440290468329,5,112,178,174,179,123.6283439764912
low_006,low,82.3440290468329,5,112,178,174,181,120.1383739120796
low_006,low,82.3440290468329,5,112,178,174,184,140.17296380685875
low_006,low,82.3440290468329,5,112,178,174,252,232.9320966696497
low_007,low,59.098651424888416,15,71,219,215,48,93.83165587727768
low_007,low,59.098651424888416,15,71,219,215,86,92.10960272319484
low_007,low,59.098651424888416,15,71,219,215,137,70.64258596468952
low_007,low,59.098651424888416,15,71,219,215,172,148.09245104640993
low_007,low,59.098651424888416,15,71,219,215,181,120.1383739120796
low_007,low,59.098651424888416,15,71,219,215,184,140.17296380685875
low_007,low,59.098651424888416,15,71,219,215,226,155.24752953579804
low_007,low,59.098651424888416,15,71,219,215,236,198.5826190155906
low_007,low,59.098651424888416,15,71,219,215,246,199.4894676968704
low_007,low,59.098651424888416,15,71,219,215,250,205.37462240253345
low_007,low,59.098651424888416,15,71,219,215,271,212.44712351393252
low_007,low,59.098651424888416,15,71,219,215,276,250.01689265895672
low_007,low,59.098651424888416,15,71,219,215,281,200.6801079550453
low_007,low,59.098651424888416,15,71,219,215,282,201.03396086490304
low_007,low,59.098651424888416,15,71,219,215,283,201.87434292983104
low_008,low,70.88484095226211,9,94,196,192,53,91.60600235493884
low_008,low,70.88484095226211,9,94,196,192,58,96.83286056952184
low_008,low,70.88484095226211,9,94,196,192,60,108.437188750549
low_008,low,70.88484095226211,9,94,196,192,87,114.46553467837042
low_008,low,70.88484095226211,9,94,196,192,111,92.10960272319484
low_008,low,70.88484095226211,9,94,196,192,159,87.67803016722456
low_008,low,70.88484095226211,9,94,196,192,234,214.5975015816921
low_008,low,70.88484095226211,9,94,196,192,249,200.26288372448363
low_008,low,70.88484095226211,9,94,196,192,289,250.8699906242489
low_009,low,85.64977296490612,10,115,175,171,51,97.25181674624623
low_009,low,85.64977296490612,10,115,175,171,60,108.437188750549
low_009,low,85.64977296490612,10,115,175,171,72,95.27363981270696
low_009,low,85.64977296490612,10,115,175,171,77,97.27360264941451
low_009,low,85.64977296490612,10,115,175,171,84,113.56607018040604
low_009,low,85.64977296490612,10,115,175,171,110,112.23992362773292
low_009,low,85.64977296490612,10,115,175,171,162,95.18935538910945
low_009,low,85.64977296490612,10,115,175,171,186,142.57731197267822
low_009,low,85.64977296490612,10,115,175,171,212,122.86849245579496
low_009,low,85.64977296490612,10,115,175,171,256,221.674029909636
low_010,low,82.9562657020956,8,112,178,174,81,100.15757052027313
low_010,low,82.9562657020956,8,112,178,174,150,101.38054439473284
low_010,low,82.9562657020956,8,112,178,174,161,89.8938164452097
low_010,low,82.9562657020956,8,112,178,174,174,146.9270874862513
low_010,low,82.9562657020956,8,112,178,174,182,136.59421587170254
low_010,low,82.9562657020956,8,112,178,174,198,122.2608369559246
low_010,low,82.9562657020956,8,112,178,174,259,210.5731695046508
low_010,low,82.9562657020956,8,112,178,174,272,212.93193925308287
low_011,low,86.09969895787188,4,115,175,171,85,114.204550067744
low_011,low,86.09969895787188,4,115,175,171,183,137.65140066300117
low_011,low,86.09969895787188,4,115,175,171,188,130.3095249256474
low_011,low,86.09969895787188,4,115,175,171,233,214.5975015816921
low_012,low,87.93879300833616,9,119,171,167,77,100.89419510316111
low_012,low,87.93879300833616,9,119,171,167,172,148.09245104640993
low_012,low,87.93879300833616,9,119,171,167,175,129.4880795711906
low_012,low,87.93879300833616,9,119,171,167,208,120.1383739120796
low_012,low,87.93879300833616,9,119,171,167,218,132.0442133563684
low_012,low,87.93879300833616,9,119,171,167,222,126.51785642653684
low_012,low,87.93879300833616,9,119,171,167,223,126.80150254859636
low_012,low,87.93879300833616,9,119,171,167,252,232.9320966696497
low_012,low,87.93879300833616,9,119,171,167,281,200.6801079550453
low_013,low,49.031945598984144,14,40,250,246,50,94.55264784499232
low_013,low,49.031945598984144,14,40,250,246,74,95.7964346528632
low_013,low,49.031945598984144,14,40,250,246,79,98.71558658484382
low_013,low,49.031945598984144,14,40,250,246,82,101.28827419426985
low_013,low,49.031945598984144,14,40,250,246,85,114.204550067744
low_013,low,49.031945598984144,14,40,250,246,93,75.50152662232739
low_013,low,49.031945598984144,14,40,250,246,103,66.40847422059585
low_013,low,49.031945598984144,14,40,250,246,142,72.87757985617546
low_013,low,49.031945598984144,14,40,250,246,167,124.93881271634282
low_013,low,49.031945598984144,14,40,250,246,188,130.3095249256474
low_013,low,49.031945598984144,14,40,250,246,207,124.75024195952518
low_013,low,49.031945598984144,14,40,250,246,224,136.59421587170254
low_013,low,49.031945598984144,14,40,250,246,225,162.92735469469554
low_013,low,49.031945598984144,14,40,250,246,288,249.08441914617677
low_014,low,79.18672900388704,7,108,182,178,172,148.09245104640993
low_014,low,79.18672900388704,7,108,182,178,188,130.3095249256474
low_014,low,79.18672900388704,7,108,182,178,195,126.21581096460608
low_014,low,79.18672900388704,7,108,182,178,204,128.57705910427012
low_014,low,79.18672900388704,7,108,182,178,216,120.7768730362112
low_014,low,79.18672900388704,7,108,182,178,252,232.9320966696497
low_014,low,79.18672900388704,7,108,182,178,278,209.38779054302665
low_015,low,84.16240343829992,11,115,175,171,53,92.86520067470322
low_015,low,84.16240343829992,11,115,175,171,75,96.93848156079044
low_015,low,84.16240343829992,11,115,175,171,79,98.71558658484382
low_015,low,84.16240343829992,11,115,175,171,84,113.56607018040604
low_015,low,84.16240343829992,11,115,175,171,154,103.9310414236418
low_015,low,84.16240343829992,11,115,175,171,159,90.20551490054972
low_015,low,84.16240343829992,11,115,175,171,202,127.84494041817564
low_015,low,84.16240343829992,11,115,175,171,206,130.3095249256474
low_015,low,84.16240343829992,11,115,175,171,234,214.5975015816921
low_015,low,84.16240343829992,11,115,175,171,239,199.46173072157308
low_015,low,84.16240343829992,11,115,175,171,267,237.87182735936972
low_016,low,77.22419233986432,10,104,186,182,61,90.56847229819101
low_016,low,77.22419233986432,10,104,186,182,78,98.55488078902874
low_016,low,77.22419233986432,10,104,186,182,86,92.10960272319484
low_016,low,77.22419233986432,10,104,186,182,154,103.9310414236418
low_016,low,77.22419233986432,10,104,186,182,178,123.56303256697046
low_016,low,77.22419233986432,10,104,186,182,193,125.4751475356062
low_016,low,77.22419233986432,10,104,186,182,207,124.75024195952518
low_016,low,77.22419233986432,10,104,186,182,213,122.9445904662079
low_016,low,77.22419233986432,10,104,186,182,217,138.7085854542998
low_016,low,77.22419233986432,10,104,186,182,249,200.26288372448363
low_017,low,79.32638128236475,5,108,182,178,58,96.83286056952184
low_017,low,79.32638128236475,5,108,182,178,158,87.67803016722456
low_017,low,79.32638128236475,5,108,182,178,221,134.31921461403547
low_017,low,79.32638128236475,5,108,182,178,246,199.4894676968704
low_017,low,79.32638128236475,5,108,182,178,247,227.77347207015927
low_018,low,40.42152592200963,14,31,259,254,34,48.55350370752381
low_018,low,40.42152592200963,14,31,259,254,77,97.27360264941451
low_018,low,40.42152592200963,14,31,259,254,102,54.3693274938228
low_018,low,40.42152592200963,14,31,259,254,118,55.45699363351096
low_018,low,40.42152592200963,14,31,259,254,125,64.38710989001893
low_018,low,40.42152592200963,14,31,259,254,146,79.604631852025
low_018,low,40.42152592200963,14,31,259,254,163,91.00170958420226
low_018,low,40.42152592200963,14,31,259,254,183,137.65140066300117
low_018,low,40.42152592200963,14,31,259,254,185,141.0020307236821
low_018,low,40.42152592200963,14,31,259,254,196,120.90923782650393
low_018,low,40.42152592200963,14,31,259,254,208,120.1383739120796
low_018,low,40.42152592200963,14,31,259,254,260,200.34084242755557
low_018,low,40.42152592200963,14,31,259,254,263,207.678163363986
low_018,low,40.42152592200963,14,31,259,254,267,237.87182735936972
low_019,low,39.616411354944404,9,31,259,254,72,95.27363981270696
low_019,low,39.616411354944404,9,31,259,254,110,112.23992362773292
low_019,low,39.616411354944404,9,31,259,254,114,60.96264869386344
low_019,low,39.616411354944404,9,31,259,254,141,72.26223285056881
low_019,low,39.616411354944404,9,31,259,254,167,124.93881271634282
low_019,low,39.616411354944404,9,31,259,254,201,127.3072311815531
low_019,low,39.616411354944404,9,31,259,254,247,227.77347207015927
low_019,low,39.616411354944404,9,31,259,254,268,238.1426276892861
low_019,low,39.616411354944404,9,31,259,254,272,212.93193925308287
medium_000,medium,138.83523166338165,7,211,79,77,184,152.48005676936694
medium_000,medium,138.83523166338165,7,211,79,77,185,163.1753090695525
medium_000,medium,138.83523166338165,7,211,79,77,187,149.56922927582642
medium_000,medium,138.83523166338165,7,211,79,77,211,166.4705270279065
medium_000,medium,138.83523166338165,7,211,79,77,245,208.44760634085245
medium_000,medium,138.83523166338165,7,211,79,77,265,234.54851986844244
medium_000,medium,138.83523166338165,7,211,79,77,288,249.08441914617677
medium_001,medium,122.41560839098295,10,177,113,111,175,142.29098915388727
medium_001,medium,122.41560839098295,10,177,113,111,183,151.17862548930518
medium_001,medium,122.41560839098295,10,177,113,111,185,143.02362528716694
medium_001,medium,122.41560839098295,10,177,113,111,202,156.54452339709928
medium_001,medium,122.41560839098295,10,177,113,111,206,150.2726692619658
medium_001,medium,122.41560839098295,10,177,113,111,217,155.89885876603554
medium_001,medium,122.41560839098295,10,177,113,111,266,234.8967231096608
medium_001,medium,122.41560839098295,10,177,113,111,267,237.87182735936972
medium_001,medium,122.41560839098295,10,177,113,111,278,209.38779054302665
medium_001,medium,122.41560839098295,10,177,113,111,280,213.26588672173685
medium_002,medium,79.85410836489457,16,109,181,177,47,106.11192945000278
medium_002,medium,79.85410836489457,16,109,181,177,62,114.09157894547567
medium_002,medium,79.85410836489457,16,109,181,177,72,100.16563071542461
medium_002,medium,79.85410836489457,16,109,181,177,79,102.0442644739503
medium_002,medium,79.85410836489457,16,109,181,177,87,114.46553467837042
medium_002,medium,79.85410836489457,16,109,181,177,148,108.90088946100666
medium_002,medium,79.85410836489457,16,109,181,177,154,111.43879968089445
medium_002,medium,79.85410836489457,16,109,181,177,158,108.85054900612216
medium_002,medium,79.85410836489457,16,109,181,177,161,100.2245090715035
medium_002,medium,79.85410836489457,16,109,181,177,188,130.3095249256474
medium_002,medium,79.85410836489457,16,109,181,177,210,148.89818064908366
medium_002,medium,79.85410836489457,16,109,181,177,215,120.54597829466157
medium_002,medium,79.85410836489457,16,109,181,177,225,162.92735469469554
medium_002,medium,79.85410836489457,16,109,181,177,230,197.7035073096081
medium_002,medium,79.85410836489457,16,109,181,177,268,238.1426276892861
medium_002,medium,79.85410836489457,16,109,181,177,285,202.792184276868
medium_003,medium,110.05107406646965,7,159,131,127,191,143.5831195953023
medium_003,medium,110.05107406646965,7,159,131,127,220,133.6306135538781
medium_003,medium,110.05107406646965,7,159,131,127,238,199.40975825285847
medium_003,medium,110.05107406646965,7,159,131,127,239,199.46173072157308
medium_003,medium,110.05107406646965,7,159,131,127,275,248.23229484039425
medium_003,medium,110.05107406646965,7,159,131,127,277,218.6655222075173
medium_003,medium,110.05107406646965,7,159,131,127,285,202.792184276868
medium_004,medium,116.25880333675525,12,164,126,122,166,148.14774933877746
medium_004,medium,116.25880333675525,12,164,126,122,173,148.61254522390357
medium_004,medium,116.25880333675525,12,164,126,122,215,134.36686877000915
medium_004,medium,116.25880333675525,12,164,126,122,219,143.0878727935904
