序号,AO号,类型,紧前工序AO号,需求人数,加工时间/h,限定站位,部位容量
1,A,1,,0,0.0,,
2,A-1,1,,0,0.0,,
3,AJYY00-0030,2,,2,1.4,,
4,AJZY00-0040,2,,2,1.31,,
5,AJYY00-0050,2,,2,1.24,,
6,AJZY00-0060,2,,2,1.59,,
7,RAND-N23594-38,2,AJZY00-0060,2,1.43,,
8,AJZY00-0080,2,RAND-N23594-38,2,1.58,,
9,AJCP00-0090,2,,2,2.25,,
10,AJCP00-0110,2,,2,2.29,,
11,AJCP00-0120,2,,2,0.6,,
12,AJCP00-0140,2,"AJCP00-0110,AJCP00-0120",2,0.62,,
13,AJCP00-0150,2,,2,0.76,,
14,AJWB00-0180,2,,2,0.85,,
15,AEQJ00-0080,2,,2,56.51,,
16,AGQJ00-0010,2,,2,3.77,,
17,FJQJ00-0370,2,,2,1.28,,
18,ABHS00-2180,2,,2,1.97,,
19,RAND-N98513-32,2,A-1,2,1.05,,
20,A-2,1,RAND-N98513-32,0,0.0,,
21,AFQJ00-0100,2,,3,0.62,,
22,AFZG00-0110,2,,3,1.06,,
23,AFZG00-0140,2,,5,0.47,,
24,AFZG00-0150,2,,5,0.41,,
25,AFZG00-0160,2,,1,0.39,,
26,AFZG00-0170,2,,1,0.58,,
27,AKZY00-0030,2,,1,1.96,,
28,AKCP00-0040,2,,1,1.52,,
29,AKCP00-0060,2,,1,1.39,,
30,AMYG00-0010,2,,1,0.99,,
31,AWWB00-0010,2,,2,0.9,,
32,AWWB00-0020,2,,1,0.77,,
33,AWWB00-0050,2,,1,0.91,,
34,BWQS00-0090,2,,1,0.99,,6
35,AWWB00-1600,2,,1,0.61,,
36,FWQJ00-1960,2,,1,0.94,,
37,AYZQ00-0090,2,,1,4.87,,
38,AYWC00-1980,2,,3,4.6,,4
39,FYQJ00-1130,2,AYZQ00-0090,2,5.92,,
40,ACZY00-0010,2,,1,0.8,,
41,ACCP00-0030,2,,1,0.74,,
42,ACCP00-0040,2,,1,0.54,,
43,ACCP00-0050,2,,1,0.41,,
44,ACCP00-0060,2,,1,0.38,,
45,AQHS00-0040,2,,1,1.48,,
46,AQHS00-0060,2,,1,1.3,,
47,AQHS00-0080,2,,1,1.38,,
48,AQHS00-0100,2,,1,2.12,,
49,AQHS00-0110,2,,1,2.12,,
50,AQHS00-0140,2,,2,0.83,,
51,AQQS00-0160,2,,1,0.94,,6
52,AQQJ00-0170,2,,2,2.54,,2
53,AQHD00-0180,2,,1,0.97,,
54,AJZY00-0220,2,,1,2.24,,
55,AJYY00-0230,2,,1,0.43,,
56,AJZY00-0240,2,,1,0.52,,
57,AJZY00-0260,2,,1,2.53,,
58,AJZY00-0280,2,,1,0.32,,
59,AJQX00-0290,2,,1,1.37,,4
60,AJWC00-0570,2,,1,1.31,,4
61,AEQS00-0020,2,,1,1.62,,6
62,AEQS00-0030,2,,1,0.95,,6
63,AEHS00-0040,2,,1,4.37,,
64,AEQS00-0060,2,,1,0.67,,6
65,DXHS00-0010,2,,1,1.65,,
66,DXHS00-0020,2,,2,1.45,,
67,AGHXB1-0070,2,,1,2.09,,4
68,AGHXB2-0080,2,,1,1.77,,4
69,AGHXB3-0090,2,,1,2.22,,4
70,AGWC00-0130,2,,1,2.23,,4
71,EGZY00-0140,2,,1,1.72,,
72,EGYY00-0150,2,,1,2.06,,
73,ENWCB1-0390,2,,2,1.18,,4
74,ENHSB1-0380,2,,1,3.17,,
75,ENHSB1-0430,2,,1,2.72,,
76,ENHSB1-0310,2,,1,1.21,,
77,ENHSB1-0320,2,,1,1.54,,
78,ENHSB1-0340,2,,1,2.14,,
79,ENWCB1-0370,2,,1,2.83,,4
80,ENHDB1-0300,2,,1,2.13,,
81,ENHDB1-0260,2,,1,2.12,,
82,ENHDB1-0230,2,,1,1.68,,
83,ENHDB1-0210,2,,1,1.46,,
84,ENHDB1-0180,2,,1,2.06,,
85,ENHSB1-0170,2,,1,1.2,,
86,ENHSB1-0440,2,,1,2.09,,
87,ENHSB1-0420,2,,1,2.2,,
88,ENHSB1-0410,2,,1,2.48,,
