序号,AO号,类型,专业编码,工种,紧前工序AO号,需求人数,加工时间/h,限定站位,部位容量
1,A,1,,-1,,0,0.0,,
2,A-1,1,,-1,,0,0.0,,
3,AAQS00-0010,2,A,0,,2,1.79,1,6
4,FAQJ00-3450,2,A,0,,2,2.89,1,
5,FDQJ00-2000,2,D,1,,2,2.31,1,
6,AJYY00-0010,2,J,0,,2,1.12,,
7,AJYY00-0030,2,J,0,AJYY00-0010,2,1.47,,
8,AJZY00-0020,2,J,0,,2,0.84,,
9,AJZY00-0040,2,J,0,AJZY00-0020,2,1.8,,
10,AJYY00-0050,2,J,0,,2,1.41,,
11,AJYY00-0070,2,J,0,AJYY00-0050,2,0.58,,
12,AJZY00-0060,2,J,0,,2,1.28,,
13,AJZY00-0080,2,J,0,AJZY00-0060,2,1.09,,
14,AJCP00-0090,2,J,0,,2,1.8,,
15,AJCP00-0100,2,J,0,,2,0.58,,
16,AJCP00-0130,2,J,0,AJCP00-0100,2,1.19,,
17,AJCP00-0120,2,J,0,,2,0.48,,
18,AJWB00-0190,2,J,0,,2,1.09,,
19,AJQJ00-0200,2,J,0,,2,1.62,,
20,AEQJ00-0010,2,E,4,,2,9.57,,
21,AEQJ00-0080,2,E,4,,2,48.06,,
22,AGQJ00-0010,2,G,0,,2,2.52,,
23,A-2,1,,-1,A-1,0,0.0,,
24,AFQJ00-0100,2,F,4,,3,0.62,,
25,AFZG00-0110,2,F,4,,3,1.01,,
26,AFZG00-0130,2,F,4,,3,0.38,,
27,AFZG00-0140,2,F,4,,5,0.38,,
28,AFZG00-0160,2,F,4,,1,0.61,,
29,AKQS00-0020,2,K,4,,1,1.27,,6
30,AKZY00-0030,2,K,4,,1,1.7,,
31,AKCP00-0040,2,K,4,,1,1.33,,
32,AKCP00-0060,2,K,4,,1,0.97,,
33,AKCP00-0070,2,K,4,,1,1.79,,
34,AWWB00-0010,2,W,1,,2,0.54,,
35,AWWB00-0020,2,W,1,,1,0.81,,
36,AWWC00-0040,2,W,1,,1,0.54,,4
37,AWWB00-0050,2,W,1,,1,0.81,,
38,BWQS00-0090,2,W,1,,1,1.04,,6
39,AWWB00-1600,2,W,1,,1,0.58,,
40,FWQJ00-1960,2,W,1,,1,0.69,,
41,AYWB00-0040,2,Y,3,,1,4.98,,
42,AYWB00-0050,2,Y,3,,1,4.08,,
43,AYQQ00-0060,2,Y,3,,2,5.89,,2
44,AYHS00-0070,2,Y,3,,1,6.13,,
45,AYQQ00-0080,2,Y,3,,1,6.77,,2
46,AYZQ00-0090,2,Y,3,,1,5.06,,
47,AYWC00-1980,2,Y,3,,3,2.46,,4
48,FYQJ00-1130,2,Y,3,AYZQ00-0090,2,7.52,,
49,ACZY00-0010,2,C,4,,1,0.77,,
50,ACYY00-0020,2,C,4,,1,0.87,,
51,ACCP00-0040,2,C,4,,1,0.54,,
52,ACCP00-0060,2,C,4,,1,0.49,,
53,ACCP00-0070,2,C,4,,1,0.57,,
54,ACCP00-0080,2,C,4,,1,0.68,,
55,ACZY00-0090,2,C,4,,1,0.64,,
56,AQHS00-0030,2,Q,2,,1,0.95,,
57,AQHS00-0040,2,Q,2,,1,0.6,,
58,AQHS00-0050,2,Q,2,,1,1.11,,
59,AQHS00-0060,2,Q,2,,1,0.85,,
60,AQHS00-0100,2,Q,2,,1,1.81,,
61,AQHS00-0120,2,Q,2,,1,1.5,,
62,AQHS00-0130,2,Q,2,,2,1.84,,
63,AQHS00-0140,2,Q,2,AQHS00-0120,2,1.56,,
64,AQHS00-0150,2,Q,2,AQHS00-0130,1,0.58,,
65,AQQS00-0160,2,Q,2,,1,1.01,,6
66,AQWC00-0190,2,Q,2,,1,1.09,,4
67,AJZY00-0220,2,J,0,,1,1.47,,
68,AJYY00-0230,2,J,0,,1,0.4,,
69,AJZY00-0260,2,J,0,,1,2.46,,
70,AJYY00-0270,2,J,0,,1,0.21,,
71,AJHS00-0300,2,J,0,,1,0.68,,
72,AJWC00-0570,2,J,0,,1,1.21,,4
73,AEQS00-0060,2,E,4,,1,0.71,,6
74,AEQS00-0070,2,E,4,,1,0.71,,6
75,AEZY00-0430,2,E,4,,1,1.42,,
76,DXHS00-0010,2,X,2,,1,2.26,,
77,DXHS00-0020,2,X,2,,2,1.68,,
78,DXHS00-0030,2,X,2,,1,0.86,,
79,AGHXB1-0070,2,G,0,,1,2.47,,4
80,AGHXB2-0080,2,G,0,,1,1.36,,4
81,AGHXB4-0100,2,G,0,,1,1.85,,4
82,AGHXB5-0110,2,G,0,,1,2.4,,4
83,AGHS00-0120,2,G,0,,2,2.62,,
84,EGZY00-0140,2,G,0,,1,1.29,,
85,ENHSB1-0430,2,N,3,,1,2.3,,
86,ENHSB1-0310,2,N,3,,1,1.67,,
87,ENHSB1-0320,2,N,3,,1,2.11,,
88,ENHSB1-0330,2,N,3,,1,2.14,,
89,ENHSB1-0340,2,N,3,,1,1.59,,
90,ENWCB1-0370,2,N,3,,1,2.03,,4
91,ENQSB1-0360,2,N,3,,1,2.58,,6
92,ENHDB1-0300,2,N,3,,1,1.33,,
93,ENHDB1-0280,2,N,3,,1,1.59,,
94,ENHDB1-0250,2,N,3,,1,2.0,,
95,ENHDB1-0240,2,N,3,,1,1.87,,
96,ENHDB1-0230,2,N,3,,1,2.09,,
97,ENHDB1-0220,2,N,3,,1,1.63,,
98,ENHDB1-0200,2,N,3,,1,1.51,,
99,ENHDB1-0190,2,N,3,,1,1.56,,
100,ENHSB1-0170,2,N,3,,1,2.02,,
101,ENHSB1-0440,2,N,3,,1,2.08,,
102,ENHSB1-0410,2,N,3,,1,2.19,,
103,ENHSB1-0400,2,N,3,,1,2.62,,
104,ARWB00-0020,2,R,1,,2,2.4,,
105,ARWB00-0040,2,R,1,,2,1.74,,
106,ARWB00-0050,2,R,1,,2,2.48,,
107,ARWB00-0060,2,R,1,,2,1.57,,
108,ARWB00-0080,2,R,1,,2,1.45,,
109,ARWB00-0100,2,R,1,,2,1.25,,
110,ARWB00-0120,2,R,1,,2,1.29,,
111,A-3,1,,-1,A-2,0,0.0,,
112,AJYYA3-0330,2,J,0,,2,4.21,,
113,AJZYA5-0350,2,J,0,,2,0.79,,
114,AJZY00-0390,2,J,0,,2,0.58,,
115,AJYYB1-0400,2,J,0,AJYYA3-0330,2,1.09,,
116,AJYYB2-0410,2,J,0,,2,1.04,,
117,AJZYB4-0430,2,J,0,,2,2.31,,
118,AJCP00-0460,2,J,0,,2,0.86,,
