TaskID,StationID,Team,Start,End,Duration
0,0,[],0.0,0.0,0.0
1,0,[],0.0,0.0,0.0
5,4,"[18, 65]",0.0,0.8509139963393648,0.8509139963393648
7,5,"[76, 45]",0.0,1.0632937817312642,1.0632937817312642
12,2,"[55, 6]",0.0,0.6078132015787702,0.6078132015787702
20,1,"[72, 12]",0.0,0.3925394654440241,0.3925394654440241
21,3,"[1, 50]",0.0,0.805564464768154,0.805564464768154
238,0,[],0.0,0.0,0.0
255,0,[],0.0,0.0,0.0
279,0,[],0.0,0.0,0.0
289,0,[],0.0,0.0,0.0
303,0,[],0.0,0.0,0.0
351,0,[],0.0,0.0,0.0
356,0,[],0.0,0.0,0.0
360,0,[],0.0,0.0,0.0
396,0,[],0.0,0.0,0.0
418,0,[],0.0,0.0,0.0
427,0,[],0.0,0.0,0.0
515,0,[],0.0,0.0,0.0
14,1,"[72, 12]",0.3925394654440241,1.5605837660528183,1.1680443006087942
8,2,"[55, 6]",0.6078132015787702,1.8044454598766668,1.1966322582978965
25,3,"[1, 50]",0.805564464768154,2.2351578926717712,1.429593427903617
15,4,"[18, 65]",0.8509139963393648,2.1028334043852563,1.2519194080458915
11,5,"[45, 76]",1.0632937817312642,2.601456683602271,1.5381629018710068
2,1,"[72, 12]",1.5605837660528183,3.159464000598173,1.5988802345453546
239,2,"[55, 6]",1.8044454598766668,2.944095283595632,1.1396498237189654
242,4,"[18, 65]",2.1028334043852563,3.384094646230485,1.2812612418452285
525,3,"[1, 50]",2.2351578926717712,3.755519206646351,1.52036131397458
241,5,"[45, 76]",2.601456683602271,4.2944681741519615,1.6930114905496905
527,5,"[47, 28]",2.601456683602271,6.17924306702576,3.5777863834234886
13,2,"[55, 6]",2.944095283595632,3.9412887944392017,0.9971935108435694
19,1,"[72, 12]",3.159464000598173,4.040284288182978,0.8808202875848048
6,4,"[18, 65]",3.384094646230485,4.244789253836295,0.8606946076058102
375,4,"[22, 10]",3.384094646230485,3.8866149985224463,0.5025203522919615
240,3,"[1, 50]",3.755519206646351,5.6502977632475915,1.8947785566012403
374,3,"[0, 66]",3.755519206646351,4.604230503699773,0.8487112970534216
365,4,"[10, 22]",3.8866149985224463,4.812828996148735,0.9262139976262884
9,2,"[55, 6]",3.9412887944392017,4.824517379517891,0.8832285850786894
363,2,"[56, 41]",3.9412887944392017,4.9160224691910885,0.9747336747518869
3,1,"[72, 12]",4.040284288182978,5.993407462613538,1.9531231744305604
16,4,"[18, 65]",4.244789253836295,4.968555187117781,0.7237659332814861
523,5,"[45, 76]",4.2944681741519615,7.184975573029458,2.8905073988774967
364,3,"[0, 66]",4.604230503699773,5.867428664021122,1.2631981603213491
366,4,"[22, 10]",4.812828996148735,6.054349880336048,1.241520884187313
518,2,"[55, 6]",4.824517379517891,7.768612549899489,2.9440951703815976
10,2,"[56, 41]",4.9160224691910885,6.368176729010731,1.4521542598196424
17,4,"[18, 65]",4.968555187117781,7.443052169410226,2.474496982292445
