序号,AO号,类型,专业编码,工种,紧前工序AO号,需求人数,加工时间/h,限定站位,部位容量
1,A,1,,-1,,0,0.0,,
2,A-1,1,,-1,,0,0.0,,
3,FAQJ00-3450,2,A,0,,2,3.0,1,
4,FDQJ00-2000,2,D,1,,2,2.11,1,
5,ABQJ00-0010,2,B,2,,2,5.17,1,
6,AJYY00-0010,2,J,0,,2,1.07,,
7,AJZY00-0020,2,J,0,,2,1.17,,
8,AJZY00-0040,2,J,0,AJZY00-0020,2,1.47,,
9,AJYY00-0050,2,J,0,,2,1.29,,
10,AJYY00-0070,2,J,0,AJYY00-0050,2,1.34,,
11,AJZY00-0060,2,J,0,,2,1.7,,
12,AJZY00-0080,2,J,0,AJZY00-0060,2,1.63,,
13,AJCP00-0100,2,J,0,,2,0.82,,
14,RJND-N90393-10,2,J,0,AJCP00-0100,2,0.77,,
15,AJCP00-0130,2,J,0,RJND-N90393-10,2,1.3,,
16,AJCP00-0110,2,J,0,,2,1.18,,
17,AJCP00-0120,2,J,0,,2,0.55,,
18,AJCP00-0160,2,J,0,,2,3.06,,
19,AJWB00-0190,2,J,0,,2,1.37,,
20,AEQJ00-0010,2,E,4,,2,7.54,,
21,AEQJ00-0080,2,E,4,,2,54.87,,
22,AGQJ00-0010,2,G,0,,2,4.79,,
23,A-2,1,,-1,A-1,0,0.0,,
24,AFZG00-0110,2,F,4,,3,1.17,,
25,AFZG00-0120,2,F,4,,3,0.43,,
26,AKQS00-0020,2,K,4,,1,1.22,,6
27,AWWB00-0010,2,W,1,,2,0.92,,
28,AWWB00-0020,2,W,1,,1,0.93,,
29,AWWC00-0040,2,W,1,,1,0.51,,4
30,AWWB00-0050,2,W,1,,1,0.56,,
31,FWQJ00-1960,2,W,1,,1,0.79,,
32,AYWB00-0050,2,Y,3,,1,3.98,,
33,AYQQ00-0060,2,Y,3,,2,8.54,,2
34,AYWC00-1980,2,Y,3,,3,4.84,,4
35,ACCP00-0030,2,C,4,,1,0.52,,
36,ACCP00-0040,2,C,4,,1,0.53,,
37,ACCP00-0050,2,C,4,,1,0.58,,
38,ACCP00-0060,2,C,4,,1,0.26,,
39,ACCP00-0080,2,C,4,,1,0.47,,
40,ACZY00-0090,2,C,4,,1,1.11,,
41,AQHS00-0030,2,Q,2,,1,1.11,,
42,AQHS00-0040,2,Q,2,,1,1.45,,
43,AQHS00-0060,2,Q,2,,1,0.94,,
44,AQHS00-0080,2,Q,2,,1,2.02,,
45,AQHS00-0090,2,Q,2,,1,1.88,,
46,AQHS00-0100,2,Q,2,,1,2.07,,
47,AQHS00-0110,2,Q,2,,1,1.63,,
48,AQHS00-0140,2,Q,2,,2,0.93,,
49,AQHS00-0150,2,Q,2,,1,0.91,,
50,AJYY00-0230,2,J,0,,1,0.55,,
51,AJZY00-0240,2,J,0,,1,0.47,,
52,AJYY00-0250,2,J,0,,1,1.96,,
53,AJYY00-0270,2,J,0,,1,0.37,,
54,AJHS00-0300,2,J,0,,1,0.47,,
55,AJWC00-0560,2,J,0,,1,0.6,,4
56,AJWC00-0570,2,J,0,,1,1.91,,4
57,AJWC00-0580,2,J,0,,5,1.68,,4
58,AEQS00-0020,2,E,4,,1,1.87,,6
59,AEHS00-0040,2,E,4,,1,6.33,,
60,AEQX00-0050,2,E,4,,1,0.67,,4
61,DXHS00-0010,2,X,2,,1,1.42,,
62,DXHS00-0020,2,X,2,,2,1.65,,
63,DXHS00-0030,2,X,2,,1,1.19,,
64,AGHXB1-0070,2,G,0,,1,1.62,,4
65,AGHXB3-0090,2,G,0,,1,1.82,,4
66,AGHS00-0120,2,G,0,,2,1.67,,
67,AGWC00-0130,2,G,0,,1,2.12,,4
68,EGZY00-0140,2,G,0,,1,1.24,,
69,EGYY00-0150,2,G,0,,1,1.55,,
70,ENHSB1-0380,2,N,3,,1,2.17,,
71,ENHSB1-0430,2,N,3,,1,2.11,,
72,ENHSB1-0310,2,N,3,,1,1.35,,
73,ENHSB1-0330,2,N,3,,1,1.55,,
74,ENQSB1-0360,2,N,3,,1,2.0,,6
75,ENHDB1-0270,2,N,3,,1,1.5,,
76,ENHDB1-0240,2,N,3,,1,1.97,,
77,ENHDB1-0220,2,N,3,,1,2.25,,
78,ENWCB1-0350,2,N,3,,5,1.74,,4
79,ENHDB1-0200,2,N,3,,1,1.67,,
80,ENHDB1-0190,2,N,3,,1,1.87,,
81,ENHSB1-0170,2,N,3,,1,1.99,,
82,ENHSB1-0440,2,N,3,,1,2.34,,
83,ENHSB1-0420,2,N,3,,1,2.14,,
84,ENHSB1-0410,2,N,3,,1,2.04,,
85,ENHSB1-0400,2,N,3,,1,2.73,,
86,ARWB00-0010,2,R,1,,2,1.98,,
87,ARWB00-0020,2,R,1,,2,2.76,,
88,ARWB00-0070,2,R,1,,2,3.02,,
89,ARWB00-0080,2,R,1,,2,3.11,,
90,ARWB00-0100,2,R,1,,2,1.24,,
91,ARWB00-0120,2,R,1,,2,1.35,,
92,ARWB00-0130,2,R,1,,2,1.38,,
93,ARWB00-0140,2,R,1,,2,0.98,,
94,A-3,1,,-1,A-2,0,0.0,,
95,AJYYA2-0320,2,J,0,,2,1.31,,
96,AJYYA3-0330,2,J,0,AJYYA2-0320,2,4.56,,
97,AJZYA4-0340,2,J,0,,2,1.38,,
98,RJND-N40052-18,2,J,0,RJND-N89031-17,1,1.64,,
99,RJND-N89031-17,2,J,0,RJND-N21692-8,2,1.11,,
100,RJND-N21692-8,2,J,0,AJZYA4-0340,1,1.31,,
101,AJZYA6-0360,2,J,0,RJND-N40052-18,2,6.03,,
102,AJYY00-0380,2,J,0,,2,0.79,,
103,AJYYB1-0400,2,J,0,AJYYA3-0330,2,1.33,,
104,AJYYB2-0410,2,J,0,AJZYA4-0340,2,1.76,,
105,AJZYB3-0420,2,J,0,AJZYA6-0360,2,0.95,,
106,AJZY00-0450,2,J,0,AJZYB3-0420,2,0.71,,
107,AJCP00-0460,2,J,0,,2,1.3,,
108,AJYYC1-0490,2,J,0,,2,0.7,,
109,AJCPD1-0520,2,J,0,,2,1.36,,
110,AJWC00-0660,2,J,0,,2,1.89,,4
111,AJWC00-0670,2,J,0,,2,0.49,,4
112,A-4,1,,-1,A-2,0,0.0,,
113,DFQJB1-0340,2,F,4,,2,0.74,,
114,DFQJB1-0350,2,F,4,,2,1.04,,
115,DFQJB2-0370,2,F,4,,2,0.69,,
116,DFQJB2-0380,2,F,4,,2,0.73,,
117,DFQJB2-0390,2,F,4,,2,0.64,,
