序号,AO号,类型,紧前工序AO号,需求人数,加工时间/h,限定站位,部位容量
1,A,1,,0,0.0,,
2,A-1,1,,0,0.0,,
3,AAQS00-0010,2,,2,1.7,1,6
5,FDQJ00-2000,2,,2,2.1,1,
8,AJYY00-0030,2,,2,1.35,,
10,AJZY00-0040,2,,2,1.35,,
12,AJYY00-0070,2,,2,1.35,,
13,AJZY00-0060,2,,2,1.28,,
19,AJCP00-0120,2,,2,0.57,,
,RAND-N84976-11,2,AJCP00-0120,2,1.0,,
20,AJCP00-0140,2,RAND-N84976-11,2,1.35,,
22,AJCP00-0160,2,,2,2.52,,
23,AJCP00-0170,2,AJCP00-0160,2,0.63,,
25,AJWB00-0190,2,,2,1.06,,
26,AJQJ00-0200,2,,2,1.18,,
29,AGQJ00-0010,2,,2,3.8,,
30,FJQJ00-0370,2,,2,1.03,,
32,A-2,1,A-1,0,0.0,,
33,AFQJ00-0100,2,,3,0.7,,
34,AFZG00-0110,2,,3,0.9,,
36,AFZG00-0130,2,,3,0.5,,
41,AKQS00-0020,2,,1,1.1,,6
45,AKCP00-0060,2,,1,1.4,,
48,AWWB00-0010,2,,2,0.8,,
52,AWWB00-0050,2,,1,0.8,,
53,BWQS00-0090,2,,1,1.0,,6
55,FWQJ00-1960,2,,1,0.8,,
56,AYWB00-0040,2,,1,4.2,,
58,AYQQ00-0060,2,,2,6.2,,2
60,AYQQ00-0080,2,,1,5.7,,2
62,AYWC00-1980,2,,3,4.6,,4
63,FYQJ00-1130,2,,2,6.3,,
73,AQHS00-0020,2,,1,1.15,,
77,AQHS00-0060,2,,1,1.5,,
82,AQHS00-0110,2,,1,1.6,,
85,AQHS00-0140,2,,2,0.95,,
90,AQWC00-0190,2,,1,1.0,,4
95,AJZY00-0260,2,,1,2.36,,
99,AJHS00-0300,2,,1,0.53,,
105,AEQS00-0030,2,,1,1.0,,6
111,DXHS00-0010,2,,1,2.3,,
113,DXHS00-0030,2,,1,1.0,,
114,AGHXB1-0070,2,,1,2.0,,4
115,AGHXB2-0080,2,,1,2.0,,4
118,AGHXB5-0110,2,,1,2.0,,4
120,AGWC00-0130,2,,1,2.0,,4
122,EGYY00-0150,2,,1,1.8,,
123,ENWCB1-0390,2,,2,2.2,,4
125,ENHSB1-0430,2,,1,2.2,,
126,ENHSB1-0310,2,,1,1.8,,
129,ENHSB1-0340,2,,1,1.8,,
130,ENWCB1-0370,2,,1,2.2,,4
131,ENQSB1-0360,2,,1,2.2,,6
135,ENHDB1-0270,2,,1,1.8,,
136,ENHDB1-0260,2,,1,1.8,,
140,ENHDB1-0220,2,,1,1.8,,
141,ENWCB1-0350,2,,5,1.8,,4
147,ENHSB1-0440,2,,1,2.2,,
149,ENHSB1-0410,2,,1,2.2,,
152,ARWB00-0020,2,,2,2.4,,
153,ARWB00-0030,2,,2,2.4,,
155,ARWB00-0050,2,,2,2.4,,
160,ARWB00-0100,2,,2,1.2,,
165,A-3,1,A-2,0,0.0,,
166,AJYYA2-0320,2,,2,0.9,,
170,AJZYA6-0360,2,,2,4.36,,
176,AJZYB4-0430,2,,2,1.75,,
179,AJCP00-0460,2,,2,1.19,,
181,AJCP00-0480,2,,2,1.19,,
182,AJYYC1-0490,2,,2,0.64,,
,RAND-N3597-3,2,AJCP00-0460,2,1.0,,
186,AJCPD2-0530,2,RAND-N3597-3,2,3.12,,
187,AJCPD3-0540,2,AJCP00-0480,2,3.12,,
188,AJCPD4-0550,2,AJCP00-0480,2,8.34,,
190,AJWC00-0660,2,,2,1.96,,4
192,AJCP00-0770,2,,2,1.02,,
193,A-4,1,A-2,0,0.0,,
196,DFQJB1-0360,2,,2,1.1,,
204,DFZY00-0440,2,,2,1.3,,
205,DFYY00-0450,2,,2,1.3,,
207,DFZG00-0470,2,,2,1.6,,
210,BMYY00-0030,2,,2,2.7,,
213,DFZY00-3090,2,,2,0.7,,
214,DFZY00-3100,2,,2,0.7,,
221,BMYY00-0420,2,,2,2.4,,
223,DMZY00-0760,2,,2,1.4,,
224,DMYY00-0770,2,,2,1.4,,
,RAND-N12809-2,2,A-4,2,1.0,,
