scenario_id,level,reschedule_start_time,delayed_task_count,frozen_task_count,movable_task_count,eligible_delay_task_count,TaskID,release_time
low_000,low,186.59288846158867,53,1192,1210,1178,26,299.3380951490518
low_000,low,186.59288846158867,53,1192,1210,1178,32,583.3941530045158
low_000,low,186.59288846158867,53,1192,1210,1178,46,547.9961639662802
low_000,low,186.59288846158867,53,1192,1210,1178,110,573.4351776246883
low_000,low,186.59288846158867,53,1192,1210,1178,140,584.4726380667537
low_000,low,186.59288846158867,53,1192,1210,1178,165,637.4893847443245
low_000,low,186.59288846158867,53,1192,1210,1178,183,641.1874635423555
low_000,low,186.59288846158867,53,1192,1210,1178,218,645.6912113252067
low_000,low,186.59288846158867,53,1192,1210,1178,238,692.2370814169777
low_000,low,186.59288846158867,53,1192,1210,1178,242,701.7873956687066
low_000,low,186.59288846158867,53,1192,1210,1178,246,693.1860234668666
low_000,low,186.59288846158867,53,1192,1210,1178,265,695.2916318383554
low_000,low,186.59288846158867,53,1192,1210,1178,268,696.0147853704823
low_000,low,186.59288846158867,53,1192,1210,1178,295,713.2021451200385
low_000,low,186.59288846158867,53,1192,1210,1178,314,746.3479291065048
low_000,low,186.59288846158867,53,1192,1210,1178,315,746.3479291065048
low_000,low,186.59288846158867,53,1192,1210,1178,455,247.42846272945312
low_000,low,186.59288846158867,53,1192,1210,1178,527,234.0261976313137
low_000,low,186.59288846158867,53,1192,1210,1178,538,232.9291508415324
low_000,low,186.59288846158867,53,1192,1210,1178,556,524.3632578156611
low_000,low,186.59288846158867,53,1192,1210,1178,566,513.0086789152951
low_000,low,186.59288846158867,53,1192,1210,1178,567,508.8868581026072
low_000,low,186.59288846158867,53,1192,1210,1178,678,596.1558637973505
low_000,low,186.59288846158867,53,1192,1210,1178,686,594.9738817301085
low_000,low,186.59288846158867,53,1192,1210,1178,848,793.3789652691232
low_000,low,186.59288846158867,53,1192,1210,1178,870,875.788958225759
low_000,low,186.59288846158867,53,1192,1210,1178,872,874.9283149691182
low_000,low,186.59288846158867,53,1192,1210,1178,976,213.248028722234
low_000,low,186.59288846158867,53,1192,1210,1178,1486,222.55042639982096
low_000,low,186.59288846158867,53,1192,1210,1178,1524,253.84236130098927
low_000,low,186.59288846158867,53,1192,1210,1178,1545,278.66089763351835
low_000,low,186.59288846158867,53,1192,1210,1178,1565,301.52677066115666
low_000,low,186.59288846158867,53,1192,1210,1178,1591,329.34273368075054
low_000,low,186.59288846158867,53,1192,1210,1178,1605,372.9516169709427
low_000,low,186.59288846158867,53,1192,1210,1178,1624,480.2276311491274
low_000,low,186.59288846158867,53,1192,1210,1178,1635,659.4642138814386
low_000,low,186.59288846158867,53,1192,1210,1178,1645,533.7411393890911
low_000,low,186.59288846158867,53,1192,1210,1178,1650,210.3538902565197
low_000,low,186.59288846158867,53,1192,1210,1178,1699,226.24750352103007
low_000,low,186.59288846158867,53,1192,1210,1178,1706,198.97535950777092
low_000,low,186.59288846158867,53,1192,1210,1178,1980,206.18702212861257
low_000,low,186.59288846158867,53,1192,1210,1178,2040,278.35391832873967
