序号,AO号,类型,专业编码,工种,紧前工序AO号,需求人数,加工时间/h,限定站位,部位容量
1,A,1,,-1,,0,0.0,,
2,A-1,1,,-1,,0,0.0,,
3,AAQS00-0010,2,A,0,,2,1.7,1,6
4,FAQJ00-3450,2,A,0,,2,2.9,1,
5,AJYY00-0030,2,J,0,,2,1.35,,
6,AJZY00-0080,2,J,0,,2,1.35,,
7,AJCP00-0110,2,J,0,,2,2.06,,
8,AJCP00-0120,2,J,0,,2,0.57,,
9,A-2,1,,-1,A-1,0,0.0,,
10,AFZG00-0160,2,F,4,,1,0.5,,
11,AKZY00-0030,2,K,4,,1,1.5,,
12,AKCP00-0040,2,K,4,,1,1.4,,
13,AWWB00-1600,2,W,1,,1,0.5,,
14,AYWB00-0050,2,Y,3,,1,4.2,,
15,AYQQ00-0080,2,Y,3,,1,5.7,,2
16,FYQJ00-1130,2,Y,3,,2,6.3,,
17,ACZY00-0010,2,C,4,,1,0.85,,
18,ACYY00-0020,2,C,4,,1,0.85,,
19,ACCP00-0040,2,C,4,,1,0.6,,
20,ACCP00-0060,2,C,4,,1,0.5,,
21,ACCP00-0080,2,C,4,,1,0.5,,
22,AQHS00-0030,2,Q,2,,1,1.15,,
23,AQHS00-0060,2,Q,2,,1,1.5,,
24,AQHS00-0080,2,Q,2,,1,1.6,,
25,AQHS00-0120,2,Q,2,,1,1.6,,
26,AJZY00-0240,2,J,0,,1,0.41,,
27,AJYY00-0250,2,J,0,,1,2.36,,
28,AJZY00-0260,2,J,0,,1,2.36,,
29,AJYYA1-0310,2,J,0,,2,1.28,,
30,AJWC00-0580,2,J,0,,5,1.53,,4
31,AEHS00-0040,2,E,4,,1,6.1,,
32,DXHS00-0010,2,X,2,,1,2.3,,
33,DXHS00-0030,2,X,2,,1,1.0,,
34,AGHXB2-0080,2,G,0,,1,2.0,,4
35,ENHSB1-0380,2,N,3,,1,2.2,,
36,ENHDB1-0300,2,N,3,,1,1.8,,
37,ENHDB1-0230,2,N,3,,1,1.8,,
38,ENHDB1-0210,2,N,3,,1,1.8,,
39,ENHDB1-0190,2,N,3,,1,1.8,,
40,ENHDB1-0180,2,N,3,,1,1.8,,
41,ENHSB1-0170,2,N,3,,1,1.8,,
42,ENHSB1-0440,2,N,3,,1,2.2,,
43,ENHSB1-0400,2,N,3,,1,2.2,,
44,ARWB00-0010,2,R,1,,2,2.4,,
45,ARWB00-0040,2,R,1,,2,2.4,,
46,ARWB00-0060,2,R,1,,2,2.4,,
47,ARWB00-0090,2,R,1,,2,1.2,,
48,ARWB00-0100,2,R,1,,2,1.2,,
49,ARWB00-0120,2,R,1,,2,1.2,,
50,A-3,1,,-1,A-2,0,0.0,,
51,AJYYA2-0320,2,J,0,,2,0.9,,
52,AJYYA3-0330,2,J,0,AJYYA2-0320,2,4.36,,
53,AJZY00-0390,2,J,0,,2,0.99,,
54,AJYY00-0440,2,J,0,,2,0.85,,
55,AJYYC1-0490,2,J,0,,2,0.64,,
56,AJCPD1-0520,2,J,0,,2,2.41,,
57,AJWC00-0660,2,J,0,,2,1.96,,4
58,A-4,1,,-1,A-2,0,0.0,,
59,DFQJB1-0350,2,F,4,,2,1.1,,
60,DFZY00-0430,2,F,4,,2,1.3,,
61,DFYY00-0450,2,F,4,,2,1.3,,
62,BMYY00-0121,2,M,0,,2,14.8,,
63,DFZY00-3090,2,F,4,,2,0.7,,
64,BMZY00-0410,2,M,0,,2,2.4,,
65,DMZY00-0760,2,M,0,,2,1.4,,
66,DMYY00-0770,2,M,0,,2,1.4,,
67,AYQJ00-0130,2,Y,3,,2,36.2,,
68,A-5,1,,-1,"A-3,A-4",0,0.0,,
69,DFZYA4-1220,2,F,4,DFQJA3-0980,2,4.1,,
70,DFQJA3-0980,2,F,4,,2,0.9,,
71,A-6,1,,-1,"A-3,A-4",0,0.0,,
72,AKHS00-0100,2,K,4,,2,1.7,,
73,AKHS00-0110,2,K,4,,2,2.4,,
74,AWHS00-0060,2,W,1,,1,2.3,,
75,ADHD00-0060,2,D,1,,1,3.7,,
76,ADHD00-0700,2,D,1,,1,3.3,,
77,ACWB00-0175,2,C,4,,1,0.75,,
78,ABWC00-0140,2,B,2,,1,3.8,,4
79,ABWCB3-0220,2,B,2,,2,0.9,,4
80,ENQSA2-0110,2,N,3,,2,1.8,,6
81,ARHS00-0160,2,R,1,,1,4.0,,
82,B,1,,-1,A,0,0.0,,
83,B-1,1,,-1,,0,0.0,,
84,DMZG00-1790,2,M,0,,2,1.0,,
85,DMYG00-2080,2,M,0,,2,1.2,,
86,DMYG00-1760,2,M,0,,2,1.0,,
87,BMYY00-0290,2,M,0,,2,2.3,,
88,BMYY00-0250,2,M,0,,2,1.8,,
89,B-2,1,,-1,B-1,0,0.0,,
90,DMZY00-0790,2,M,0,,2,14.7,,
91,B-3,1,,-1,B-2,0,0.0,,
92,DMYG00-1730,2,M,0,,2,26.2,,
93,DMYG00-1740,2,M,0,,2,5.7,,
94,DMYG00-1750,2,M,0,,2,4.9,,
95,FMQQ00-3180,2,M,0,,2,1.0,,2
96,B-4,1,,-1,,0,0.0,,
97,BAHS00-0170,2,A,0,,2,1.6,,
98,BAHS00-0190,2,A,0,,2,1.3,,
99,B-5,1,,-1,B-4,0,0.0,,
100,B-6,1,,-1,B-5,0,0.0,,
101,CAHS00-0640,2,A,0,,2,1.8,,
102,CAHX00-0680,2,A,0,,2,4.8,,4
103,CAWC00-0690,2,A,0,,2,2.8,,4
104,B-7,1,,-1,,0,0.0,,
105,CKYY00-0230,2,K,4,,2,10.5,,
106,B-8,1,,-1,B-7,0,0.0,,
107,CKQS00-0250,2,K,4,,2,9.3,,6
108,CKQS00-0260,2,K,4,,2,10.9,,6
109,CKQX00-0270,2,K,4,,2,13.0,,4
110,CKHX00-0280,2,K,4,,2,16.2,,4
111,CKHX00-0290,2,K,4,,2,21.2,,4
112,CKHX00-0300,2,K,4,,2,26.5,,4
113,CKHX00-0310,2,K,4,,2,28.2,,4
114,CKZY00-0340,2,K,4,,2,7.8,,
115,DKQS00-0740,2,K,4,CKQS00-0250,2,6.4,,6
116,DKZQF2-0670,2,K,4,CKQS00-0250,2,2.6,,
117,DKQS00-0450,2,K,4,CKQS00-0250,2,3.6,,6
118,DKQS00-0460,2,K,4,CKQS00-0250,2,5.4,,6
119,B-9,1,,-1,,0,0.0,,
120,CWQJ00-1690,2,W,1,,2,2.9,,
121,CWQJ00-1700,2,W,1,,2,2.5,,
