序号,AO号,类型,专业编码,工种,紧前工序AO号,需求人数,加工时间/h,限定站位,部位容量
1,A,1,,-1,,0,0.0,,
2,A-1,1,,-1,,0,0.0,,
3,AAQS00-0010,2,A,0,,2,1.73,1,6
4,FAQJ00-3450,2,A,0,,2,3.51,1,
5,ABQJ00-0010,2,B,2,,2,4.44,1,
6,AJYY00-0010,2,J,0,,2,0.88,,
7,AJZY00-0040,2,J,0,,2,1.11,,
8,AJYY00-0050,2,J,0,,2,1.2,,
9,AJCP00-0110,2,J,0,,2,2.69,,
10,AJCP00-0120,2,J,0,,2,0.54,,
11,RJND-N19049-21,2,J,0,AJCP00-0120,2,0.92,,
12,AJCP00-0140,2,J,0,"AJCP00-0110,RJND-N19049-21",2,0.61,,
13,AJCP00-0150,2,J,0,,2,0.98,,
14,RJND-N43785-15,2,J,0,AJCP00-0150,1,1.31,,
15,AJCP00-0160,2,J,0,RJND-N43785-15,2,2.86,,
16,AJWB00-0190,2,J,0,,2,1.41,,
17,AJQJ00-0200,2,J,0,,2,1.06,,
18,AEQJ00-0010,2,E,4,,2,8.67,,
19,AEQJ00-0080,2,E,4,,2,64.4,,
20,AGQJ00-0010,2,G,0,,2,4.63,,
21,FJQJ00-0370,2,J,0,,2,1.12,,
22,A-2,1,,-1,A-1,0,0.0,,
23,AFQJ00-0100,2,F,4,,3,0.69,,
24,AFZG00-0120,2,F,4,,3,0.43,,
25,AFZG00-0130,2,F,4,,3,0.45,,
26,AFZG00-0150,2,F,4,,5,0.64,,
27,AFZG00-0160,2,F,4,,1,0.55,,
28,AFZG00-0170,2,F,4,,1,0.6,,
29,AKQS00-0020,2,K,4,,1,0.95,,6
30,AKCP00-0040,2,K,4,,1,1.82,,
31,AKCP00-0070,2,K,4,,1,0.85,,
32,AWWB00-0010,2,W,1,,2,0.77,,
33,AWWB00-0030,2,W,1,,1,0.91,,
34,BWQS00-0090,2,W,1,,1,0.81,,6
35,AWWB00-1600,2,W,1,,1,0.43,,
36,AYHS00-0070,2,Y,3,,1,6.61,,
37,AYQQ00-0080,2,Y,3,,1,6.28,,2
38,AYWC00-1980,2,Y,3,,3,3.88,,4
39,ACYY00-0020,2,C,4,,1,1.18,,
40,ACCP00-0030,2,C,4,,1,0.57,,
41,ACCP00-0040,2,C,4,,1,0.63,,
42,ACCP00-0050,2,C,4,,1,0.49,,
43,ACCP00-0070,2,C,4,,1,0.42,,
44,ACZY00-0090,2,C,4,,1,0.72,,
45,AQHS00-0040,2,Q,2,,1,1.07,,
46,AQHS00-0050,2,Q,2,,1,1.45,,
47,AQHS00-0060,2,Q,2,,1,1.41,,
48,AQHS00-0070,2,Q,2,,1,1.76,,
49,AQHS00-0100,2,Q,2,,1,1.38,,
50,AQHS00-0120,2,Q,2,,1,1.75,,
51,AQHS00-0130,2,Q,2,,2,1.14,,
52,AQHS00-0140,2,Q,2,AQHS00-0120,2,1.03,,
53,AQHS00-0150,2,Q,2,AQHS00-0130,1,1.13,,
54,AQQS00-0160,2,Q,2,,1,0.94,,6
55,AQQJ00-0170,2,Q,2,AQHS00-0130,2,3.09,,2
56,AQHD00-0180,2,Q,2,,1,0.66,,
57,AQWC00-0190,2,Q,2,,1,0.99,,4
58,AJZY00-0240,2,J,0,,1,0.48,,
59,AJYY00-0250,2,J,0,,1,2.46,,
60,AJZY00-0260,2,J,0,,1,1.59,,
61,AJZY00-0280,2,J,0,,1,0.4,,
62,AJQX00-0290,2,J,0,,1,1.1,,4
63,AJHS00-0300,2,J,0,,1,0.55,,
64,AJYYA1-0310,2,J,0,,2,1.04,,
65,AJWC00-0560,2,J,0,,1,0.49,,4
66,AEQS00-0030,2,E,4,,1,1.21,,6
67,AEHS00-0040,2,E,4,,1,5.37,,
68,AEQX00-0050,2,E,4,,1,1.15,,4
69,AEZY00-0430,2,E,4,,1,1.74,,
70,DXHS00-0010,2,X,2,,1,2.24,,
71,DXHS00-0020,2,X,2,,2,2.07,,
72,AGHXB2-0080,2,G,0,,1,1.3,,4
73,AGHXB4-0100,2,G,0,,1,1.85,,4
74,AGHXB5-0110,2,G,0,,1,2.0,,4
75,AGWC00-0130,2,G,0,,1,1.83,,4
76,ENWCB1-0390,2,N,3,,2,1.64,,4
77,ENHSB1-0380,2,N,3,,1,2.5,,
78,ENHSB1-0430,2,N,3,,1,2.73,,
79,ENHSB1-0310,2,N,3,,1,1.46,,
80,ENHSB1-0320,2,N,3,,1,1.76,,
81,ENHSB1-0330,2,N,3,,1,2.65,,
82,ENHSB1-0340,2,N,3,,1,1.76,,
83,ENHDB1-0300,2,N,3,,1,1.48,,
84,ENHDB1-0290,2,N,3,,1,2.64,,
85,ENHDB1-0270,2,N,3,,1,1.96,,
86,ENHDB1-0250,2,N,3,,1,1.26,,
87,ENHDB1-0240,2,N,3,,1,2.31,,
88,ENHDB1-0230,2,N,3,,1,1.8,,
89,ENWCB1-0350,2,N,3,,5,2.18,,4
90,ENHDB1-0210,2,N,3,,1,1.26,,
91,ENHDB1-0190,2,N,3,,1,1.68,,
92,ENHSB1-0420,2,N,3,,1,2.42,,
93,ARWB00-0010,2,R,1,,2,2.04,,
94,ARWB00-0030,2,R,1,,2,2.16,,
95,ARWB00-0040,2,R,1,,2,2.09,,
96,ARWB00-0060,2,R,1,,2,2.38,,
97,ARWB00-0080,2,R,1,,2,2.38,,
98,ARWB00-0090,2,R,1,,2,1.43,,
99,ARWB00-0100,2,R,1,,2,1.57,,
100,ARWB00-0140,2,R,1,,2,1.37,,
101,A-3,1,,-1,A-2,0,0.0,,
102,AJYYA2-0320,2,J,0,,2,0.78,,
103,RJND-N41528-8,2,J,0,AJYYA2-0320,2,1.1,,
104,AJYYA3-0330,2,J,0,RJND-N41528-8,2,4.25,,
105,AJZYA4-0340,2,J,0,,2,1.41,,
106,AJZYA5-0350,2,J,0,AJZYA4-0340,2,0.84,,
107,AJYY00-0380,2,J,0,,2,1.5,,
108,RJND-N58627-16,2,J,0,AJYYA3-0330,2,4.55,,
109,AJYYB1-0400,2,J,0,RJND-N58627-16,2,1.47,,
110,RJND-N90086-10,2,J,0,AJZYA5-0350,2,0.41,,
111,AJZYB3-0420,2,J,0,RJND-N90086-10,2,0.95,,
112,AJZYB4-0430,2,J,0,,2,2.19,,
113,AJCP00-0470,2,J,0,,2,1.27,,
114,AJCPD1-0520,2,J,0,,2,2.57,,
115,AJCPD2-0530,2,J,0,,2,3.17,,
116,AJWC00-0650,2,J,0,,2,1.44,,4
