worker_id,efficiency,skill_0,skill_1,skill_2,skill_3,skill_4
0,1.1095824194223853,1,1,1,0,1
1,0.975551375900821,1,1,0,0,0
2,1.143439167964553,0,0,1,1,0
3,1.0789472116237455,1,0,1,1,1
4,0.8376709391550599,0,1,0,0,1
5,1.1902489406547023,1,0,0,1,0
6,1.104455880796141,1,1,0,0,0
7,1.1144257221107816,0,1,1,1,1
8,0.8512454530702184,1,0,1,1,0
9,0.9801543751582269,0,0,0,1,1
10,0.9483192096930325,1,0,1,0,1
11,1.1707059955394408,0,1,1,0,0
12,1.0575460480322658,1,1,1,0,0
13,1.129104645308332,0,1,0,1,1
14,0.9773656795309325,1,0,0,1,1
15,0.8908954887139108,1,1,0,1,1
16,1.021833914806334,0,1,1,0,1
17,0.8255269024416702,0,1,1,1,0
18,1.1310524687970327,1,1,1,1,0
19,1.0526657596488258,1,0,1,1,1
20,1.1032350960341495,1,0,0,0,1
21,0.9418103872519473,0,1,1,1,0
22,1.1882792097579613,1,1,1,0,1
23,1.157248448528879,0,1,0,1,1
24,1.1113533988295048,1,0,0,1,1
25,0.8778554831407871,1,1,1,0,1
26,0.9866884014908137,0,1,1,0,0
27,0.8175215063148915,1,0,1,1,0
28,0.8617157968270192,1,1,1,1,0
29,1.0732195812969818,0,0,0,1,1
30,1.097904862363127,1,1,0,0,1
31,1.187003892973684,0,1,0,1,0
32,0.9303301432552608,0,0,1,0,1
33,0.9481838824139476,1,0,1,1,0
34,0.9878223245103231,1,1,0,0,1
35,0.8757885436337143,1,0,1,1,1
36,0.8519686021341887,1,1,1,0,1
37,0.9902819704903735,0,0,1,1,0
38,0.8907637396203537,0,1,0,1,0
39,1.0679255978730042,0,1,0,0,1
40,0.9748607675489322,1,0,1,1,1
41,1.133071278423135,1,1,0,0,1
42,1.0801060408008996,0,1,1,1,0
43,0.9249466565528164,1,0,1,1,1
44,1.1329039205580804,1,0,1,1,1
45,1.1219057429987207,1,1,0,1,0
46,0.9549913516120698,0,1,0,0,1
47,0.9153312415720977,1,1,1,1,0
48,1.0729982015899902,1,0,1,1,1
49,0.855900993443724,0,0,1,0,1
50,0.8799632809900434,1,1,0,0,0
51,0.8029449079004023,1,1,1,1,0
52,1.1147697510008554,0,0,1,0,1
53,1.0659403426368128,1,1,0,1,0
54,1.082066151450534,0,0,0,1,1
55,1.1122916124087872,1,1,0,0,0
56,0.983566310215336,1,1,1,0,1
57,1.0274964783811575,0,0,1,0,1
58,0.8559187992510631,0,1,1,1,0
59,0.8458120294143894,1,1,0,1,1
60,1.0673611847161886,1,0,1,1,1
61,0.988438482457253,1,1,0,0,1
